,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
61,84.0,81.0,44.0,20.0,15.0,9.0,18.0,30.0,82.0,129.0,192.0,260.0,306.0,362.0,306.0,287.0,322.0,289.0,198.0,233.0,134.0,107.0,87.0,72.0
62,22.0,4.0,7.0,3.0,1.0,3.0,16.0,35.0,89.0,160.0,229.0,209.0,200.0,222.0,191.0,201.0,211.0,270.0,126.0,92.0,65.0,40.0,31.0,37.0
66,48.0,19.0,15.0,5.0,8.0,17.0,20.0,76.0,181.0,187.0,244.0,174.0,207.0,233.0,188.0,212.0,177.0,159.0,114.0,109.0,54.0,48.0,55.0,34.0
67,45.0,51.0,34.0,20.0,20.0,10.0,19.0,47.0,94.0,146.0,219.0,270.0,306.0,353.0,330.0,368.0,325.0,298.0,287.0,213.0,164.0,133.0,113.0,71.0
68,9.0,4.0,1.0,1.0,1.0,1.0,24.0,52.0,66.0,77.0,91.0,97.0,92.0,93.0,82.0,90.0,54.0,65.0,57.0,53.0,44.0,15.0,11.0,13.0
69,158.0,106.0,71.0,24.0,10.0,11.0,25.0,26.0,81.0,201.0,295.0,361.0,436.0,480.0,499.0,517.0,462.0,420.0,357.0,303.0,212.0,184.0,184.0,140.0
71,70.0,35.0,34.0,11.0,7.0,6.0,17.0,33.0,41.0,72.0,137.0,150.0,195.0,308.0,241.0,228.0,198.0,221.0,193.0,173.0,118.0,77.0,80.0,66.0
72,12.0,15.0,4.0,2.0,0.0,6.0,34.0,54.0,101.0,161.0,163.0,173.0,272.0,178.0,166.0,169.0,170.0,138.0,123.0,85.0,40.0,44.0,25.0,15.0
73,11.0,3.0,6.0,0.0,1.0,4.0,54.0,24.0,42.0,122.0,191.0,160.0,158.0,133.0,109.0,106.0,106.0,109.0,143.0,85.0,59.0,46.0,37.0,15.0
74,35.0,21.0,10.0,9.0,4.0,29.0,56.0,123.0,179.0,262.0,338.0,369.0,369.0,317.0,282.0,307.0,240.0,259.0,186.0,154.0,109.0,91.0,48.0,32.0
75,12.0,2.0,3.0,1.0,3.0,2.0,16.0,31.0,37.0,73.0,117.0,121.0,145.0,139.0,125.0,120.0,82.0,89.0,89.0,77.0,39.0,35.0,27.0,15.0
76,132.0,44.0,32.0,23.0,9.0,14.0,61.0,141.0,359.0,764.0,1409.0,2002.0,2590.0,2519.0,2528.0,2865.0,2706.0,2149.0,1844.0,1259.0,834.0,515.0,332.0,300.0
77,35.0,23.0,6.0,2.0,3.0,4.0,44.0,110.0,173.0,220.0,394.0,392.0,397.0,367.0,327.0,271.0,266.0,251.0,238.0,212.0,124.0,90.0,68.0,71.0
80,17.0,10.0,2.0,1.0,4.0,4.0,27.0,59.0,92.0,129.0,180.0,224.0,187.0,145.0,151.0,122.0,136.0,115.0,87.0,79.0,40.0,26.0,26.0,18.0
81,41.0,12.0,13.0,6.0,1.0,3.0,31.0,34.0,84.0,149.0,201.0,272.0,268.0,292.0,263.0,267.0,313.0,246.0,194.0,151.0,95.0,89.0,78.0,82.0
84,48.0,23.0,24.0,11.0,7.0,4.0,50.0,37.0,116.0,174.0,205.0,238.0,239.0,268.0,264.0,213.0,201.0,206.0,159.0,188.0,112.0,89.0,70.0,52.0
85,75.0,40.0,39.0,32.0,7.0,31.0,53.0,129.0,320.0,500.0,949.0,1185.0,1353.0,1549.0,1680.0,1897.0,1742.0,1467.0,1135.0,823.0,389.0,250.0,151.0,109.0
86,17.0,14.0,14.0,3.0,1.0,2.0,9.0,38.0,65.0,98.0,138.0,162.0,149.0,137.0,112.0,113.0,90.0,112.0,73.0,64.0,51.0,42.0,29.0,13.0
87,27.0,21.0,7.0,6.0,3.0,0.0,9.0,20.0,57.0,95.0,177.0,227.0,206.0,217.0,181.0,187.0,154.0,144.0,134.0,99.0,75.0,67.0,37.0,23.0
88,27.0,5.0,6.0,2.0,0.0,2.0,1.0,12.0,29.0,57.0,107.0,101.0,129.0,107.0,108.0,91.0,91.0,92.0,79.0,47.0,43.0,40.0,43.0,36.0
89,4.0,3.0,2.0,0.0,2.0,1.0,13.0,11.0,46.0,71.0,63.0,90.0,93.0,114.0,56.0,74.0,60.0,44.0,27.0,39.0,25.0,22.0,14.0,8.0
90,126.0,99.0,22.0,13.0,9.0,12.0,29.0,99.0,222.0,420.0,622.0,1009.0,1167.0,1216.0,1457.0,1407.0,1299.0,1112.0,817.0,593.0,528.0,444.0,299.0,176.0
91,14.0,2.0,7.0,2.0,2.0,1.0,4.0,16.0,63.0,116.0,146.0,155.0,215.0,218.0,184.0,180.0,127.0,114.0,86.0,50.0,55.0,35.0,25.0,19.0
92,13.0,5.0,6.0,4.0,1.0,2.0,3.0,14.0,54.0,81.0,126.0,133.0,92.0,115.0,121.0,93.0,79.0,62.0,79.0,58.0,25.0,25.0,5.0,6.0
93,11.0,23.0,14.0,6.0,5.0,2.0,9.0,21.0,76.0,84.0,163.0,175.0,214.0,247.0,272.0,260.0,283.0,230.0,259.0,166.0,79.0,46.0,35.0,26.0
94,76.0,63.0,42.0,16.0,9.0,14.0,48.0,115.0,239.0,414.0,516.0,690.0,873.0,979.0,996.0,939.0,887.0,791.0,586.0,392.0,207.0,124.0,98.0,77.0
95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,2.0,6.0,4.0,2.0,13.0,11.0,10.0,4.0,14.0,6.0,5.0,3.0,5.0,0.0
96,45.0,34.0,11.0,3.0,1.0,4.0,16.0,16.0,45.0,137.0,164.0,206.0,206.0,215.0,204.0,195.0,179.0,168.0,117.0,113.0,86.0,62.0,48.0,45.0
97,19.0,12.0,5.0,1.0,0.0,0.0,5.0,28.0,69.0,107.0,251.0,319.0,440.0,585.0,752.0,802.0,880.0,687.0,385.0,144.0,105.0,54.0,134.0,277.0
98,28.0,11.0,9.0,11.0,2.0,3.0,14.0,25.0,49.0,88.0,143.0,173.0,130.0,159.0,130.0,132.0,143.0,133.0,133.0,93.0,59.0,38.0,52.0,50.0
99,55.0,24.0,19.0,10.0,13.0,15.0,51.0,134.0,244.0,395.0,443.0,518.0,569.0,573.0,503.0,615.0,510.0,418.0,375.0,239.0,154.0,115.0,115.0,87.0
