,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
129,48,15,11,2,5,18,32,42,91,93,95,128,150,193,174,233,348,536,573,386,273,159,136,96
130,51,15,10,5,3,14,28,100,125,165,132,158,223,238,247,333,588,1523,1030,830,535,386,238,140
131,22,5,3,4,4,38,144,171,162,125,108,159,215,212,177,239,396,768,588,414,232,180,94,65
132,1,1,1,0,0,0,4,33,70,43,21,25,54,50,43,41,38,46,76,74,36,40,45,22
133,42,27,13,9,8,540,1690,2715,3315,2005,829,1248,1233,1092,1068,1343,2508,3569,1980,1287,728,434,302,151
134,132,34,21,7,4,41,222,1251,1442,998,473,594,779,606,532,434,800,1457,953,560,378,303,180,198
135,15,4,5,1,1,1,24,7,129,49,26,39,58,34,35,29,46,101,122,108,73,49,46,42
136,8,4,3,0,3,1,4,81,10,12,13,30,27,34,145,88,99,170,88,71,55,33,17,18
137,7,4,1,1,1,2,8,45,50,60,68,82,108,133,166,242,676,1153,564,270,152,118,80,40
138,18,9,5,3,2,1,26,91,138,150,98,141,163,155,182,264,494,1095,797,476,238,151,106,45
140,64,24,13,5,12,83,315,868,1263,971,405,530,570,607,559,790,1229,2561,1491,872,513,433,267,159
141,95,29,20,4,18,131,290,426,467,526,347,426,572,562,669,705,1132,1906,1595,1084,709,428,303,181
142,60,36,8,11,28,96,789,2274,1647,916,513,393,517,534,541,576,710,1292,842,533,406,275,224,188
143,31,17,3,6,2,13,82,539,306,174,297,312,344,383,390,500,655,1454,1066,642,296,235,185,91
144,101,45,13,3,8,28,98,261,331,217,183,215,356,327,282,525,711,1490,1508,971,620,442,325,187
145,64,25,36,34,9,35,219,620,1247,1036,526,489,537,555,526,569,721,1184,898,671,452,381,226,138
146,6,5,3,2,0,14,79,626,290,87,102,92,124,158,127,310,352,801,426,178,128,95,54,38
147,32,14,7,2,3,30,15,41,38,36,26,50,70,61,68,92,138,319,291,223,168,134,108,54
148,25,21,6,6,2,27,42,257,875,494,447,583,567,645,572,565,543,454,465,279,195,145,75,66
149,44,21,11,5,3,5,12,20,67,77,110,215,198,279,254,233,385,462,445,250,236,204,101,99
150,25,6,2,6,0,12,43,72,173,162,223,300,351,468,397,485,473,657,606,495,306,153,85,61
152,40,19,9,3,2,17,51,202,219,140,133,154,173,183,162,186,327,644,777,747,323,234,186,104
153,42,15,16,13,4,16,245,533,339,283,216,218,267,359,327,313,524,1536,1229,685,393,288,177,102
154,19,12,3,5,4,22,51,75,69,58,77,90,94,116,125,155,282,575,508,403,260,181,129,89
156,55,34,15,8,11,29,108,202,281,262,227,259,307,357,394,463,725,1233,1121,743,519,352,248,181
157,40,24,11,1,5,16,103,354,263,195,245,365,406,507,658,688,917,1228,942,557,394,243,166,101
158,29,12,9,5,7,101,70,261,259,161,204,173,304,282,264,286,430,1075,774,553,325,191,165,73
159,30,17,18,27,30,16,10,53,46,30,23,37,66,59,65,88,229,453,414,256,204,101,66,37
160,14,12,5,3,3,4,25,37,45,59,24,52,64,78,94,88,171,528,469,243,203,131,92,64
161,41,18,12,5,26,43,435,891,1105,290,220,357,429,451,480,461,692,1015,726,538,320,201,145,98
162,25,23,7,4,0,2,40,132,85,100,42,55,75,74,94,89,162,365,361,246,188,108,85,43
163,11,5,1,2,1,18,46,160,68,34,45,110,94,89,85,114,249,536,389,228,140,97,56,33
164,59,26,7,3,15,315,901,1822,1870,628,290,524,790,719,473,494,586,772,341,229,151,118,97,63
165,39,20,11,5,3,4,23,62,151,126,123,166,270,209,166,261,375,494,571,401,273,183,150,84
166,36,19,10,4,4,3,5,37,45,40,61,56,101,117,88,145,362,605,604,292,126,115,108,67
167,7,3,1,3,0,0,6,6,33,1,3,6,4,11,15,16,26,24,26,26,23,24,14,10
168,57,31,14,12,5,29,106,167,121,124,162,279,301,287,285,539,683,1736,840,534,353,257,165,84
169,19,4,5,30,0,14,109,217,345,83,81,100,143,172,131,316,147,227,122,77,64,53,41,16
170,15,11,8,0,2,4,7,206,153,91,103,159,144,99,110,134,179,481,342,129,90,109,102,43
171,45,18,4,6,1,0,3,30,50,48,32,56,56,50,47,62,69,187,157,137,108,98,78,60
172,82,39,14,9,29,45,141,290,337,200,250,354,379,440,478,489,680,1238,967,623,439,319,259,133
173,36,34,41,40,40,229,903,1035,1163,617,417,475,461,537,556,554,682,1184,847,373,263,187,181,96
174,71,1,2,8,12,182,1329,2020,1986,1263,318,326,564,789,1120,2861,6186,6457,1928,678,436,403,247,146
175,34,13,6,1,0,8,53,162,80,116,134,259,280,296,305,317,744,1155,806,476,374,260,198,118
176,120,54,27,9,20,186,530,468,663,526,395,590,681,668,730,945,1671,3227,2020,1402,902,660,461,252
177,105,44,21,39,15,45,198,576,852,705,1111,1778,1905,2108,2196,2259,2690,3103,2854,1746,962,607,317,183
178,21,6,3,4,0,0,16,55,33,32,45,53,71,92,184,106,385,337,350,181,149,106,43,27
179,4,2,0,3,0,17,25,14,20,12,9,13,29,17,31,23,23,53,105,42,14,18,14,2
180,30,10,10,7,1,4,108,50,90,87,89,124,198,210,252,310,490,896,786,445,371,224,141,83
181,88,38,37,3,12,131,424,2244,3712,1847,763,1048,1056,965,696,772,1145,1624,1381,1090,758,453,395,231
182,45,30,5,3,13,62,303,375,229,143,129,221,298,300,389,436,1017,2228,1256,655,420,301,173,137
183,45,21,8,5,2,13,23,51,46,66,68,103,125,135,180,205,422,1146,1152,694,407,265,224,100
184,13,9,7,5,6,13,90,223,537,322,274,238,265,327,245,203,224,172,160,105,64,57,34,35
185,12,5,3,0,0,37,8,32,40,21,27,26,39,50,55,81,123,194,239,195,100,79,54,44
186,25,7,3,10,7,5,94,80,318,111,99,126,211,237,221,254,400,936,730,426,249,169,132,92
188,31,12,7,4,3,15,18,50,90,192,108,122,166,171,165,214,547,796,531,387,256,187,158,99
190,32,8,7,5,1,6,20,171,98,80,37,86,82,94,116,168,468,878,926,487,258,178,127,69
191,56,4,2,0,7,73,948,1469,3063,1221,317,312,446,403,246,310,1164,1657,280,94,44,37,28,21
192,53,4,5,4,50,394,1439,2978,3556,1705,608,504,937,979,2071,3714,11796,13783,3510,936,575,405,211,97
193,3,2,0,3,1,2,0,10,12,20,22,22,30,16,18,21,25,34,36,25,20,13,16,15
194,78,47,17,8,5,36,170,1099,1828,645,333,499,550,662,561,564,752,857,521,340,237,136,162,99
195,80,27,17,9,11,125,547,1797,4113,1387,407,489,751,735,672,684,1149,1707,1117,738,434,334,171,134
196,16,8,5,5,15,86,346,716,1117,489,427,369,463,460,421,404,579,1028,549,289,283,161,96,57
197,17,15,18,0,3,89,215,549,1727,795,368,402,521,459,390,412,509,751,466,237,215,155,95,54
198,35,13,3,4,27,134,310,585,1040,329,303,675,830,633,593,618,1041,1988,1393,899,549,353,167,99
199,93,47,13,5,14,84,167,627,1422,732,419,549,825,727,695,819,994,1501,1260,833,557,462,333,182
200,3,0,0,0,0,0,3,3,28,18,21,24,37,36,42,25,20,34,10,8,15,5,10,6
201,3,2,5,3,1,2,2,12,84,39,4,11,5,11,8,8,12,19,18,19,6,3,5,5
202,61,21,3,4,2,1,4,35,50,35,26,57,86,112,196,136,179,394,316,159,154,89,92,59
203,9,1,3,1,1,0,76,93,171,23,40,57,43,35,34,45,92,100,81,60,77,69,52,31
204,4,2,1,0,1,5,3,16,90,51,17,30,53,90,111,189,286,284,126,88,41,27,9,2
205,48,12,4,4,2,10,77,54,177,87,79,83,142,145,119,132,152,219,264,195,141,72,76,41
206,7,0,2,0,1,3,75,201,225,94,34,42,44,49,46,58,104,265,109,72,52,49,35,21
207,7,2,0,1,0,1,2,18,10,34,46,59,37,39,48,47,91,178,167,203,101,66,22,18
208,36,14,2,3,3,13,13,44,24,26,31,49,47,54,67,53,100,118,127,121,109,95,86,53
209,6,1,0,3,0,0,0,8,83,48,13,9,21,19,24,23,42,178,157,52,46,20,8,4
210,94,51,27,11,21,139,330,643,1070,568,277,310,320,368,374,514,774,1611,1380,998,670,457,292,175
211,52,38,20,15,139,712,2676,3256,3351,1916,988,953,1108,968,909,1048,946,946,801,463,321,198,124,106
212,28,7,4,1,3,38,230,726,1974,981,239,454,455,402,308,374,752,1368,668,440,237,191,159,71
213,17,5,11,3,3,34,88,236,386,160,70,82,145,126,107,140,301,465,410,342,236,151,106,65
214,30,11,3,1,2,7,63,175,164,95,152,138,150,128,160,211,433,996,732,359,243,148,105,59
215,5,1,2,0,0,14,13,80,86,45,59,90,72,133,80,74,118,223,266,142,70,35,24,25
216,42,22,8,7,8,3,7,17,62,57,47,35,59,63,54,87,103,224,214,135,111,87,60,56
217,14,3,2,1,2,17,318,1331,918,547,142,190,341,258,195,157,354,604,428,244,152,109,93,33
218,3,2,0,0,0,0,3,18,10,12,17,24,37,39,53,59,84,118,80,63,40,23,10,6
219,37,23,7,44,0,9,78,163,204,126,96,152,210,261,228,301,699,1133,933,566,323,245,200,131
220,106,32,19,5,7,16,165,144,184,196,201,256,384,378,402,491,750,2043,1979,1515,986,666,395,223
222,7,11,8,6,7,4,30,41,67,28,39,46,56,71,82,90,187,304,257,188,122,59,56,28
223,23,10,5,2,0,28,254,317,320,147,162,163,228,241,221,321,510,846,747,535,378,228,127,66
224,10,8,1,0,2,37,72,145,170,129,143,202,168,147,150,301,399,791,592,419,305,188,131,58
225,28,6,4,0,23,230,163,196,275,170,156,186,253,201,200,308,451,871,778,538,312,203,127,57
226,33,24,10,14,6,21,81,144,188,101,145,153,256,175,180,212,348,790,763,563,340,291,182,115
227,34,18,4,2,5,40,93,127,187,242,200,242,297,321,413,321,572,783,983,635,414,290,210,129
228,38,21,2,4,1,0,23,56,16,31,34,38,60,75,87,84,143,355,427,243,137,89,81,52
229,29,14,3,0,22,180,195,822,584,248,183,196,245,233,276,328,436,833,1024,748,407,268,212,108
230,34,25,7,5,33,72,261,719,860,358,190,180,177,191,229,282,417,686,735,472,360,409,223,98
