id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
327,Sheffield Ave & Webster Ave,18,41.92154,-87.653818,Sheffield Ave & Webster Ave,19,11681,11160
328,Ellis Ave & 58th St,19,41.788746,-87.601334,Ellis Ave & 58th St,19,5234,5008
329,Lake Shore Dr & Diversey Pkwy,14,41.932684,-87.63625,Lake Shore Dr & Diversey Pkwy,15,12280,12330
330,Lincoln Ave & Addison St,19,41.946176,-87.673308,Lincoln Ave & Addison St,19,2210,2340
331,Halsted St & Blackhawk St (*),17,41.908537,-87.648627,Halsted St & Blackhawk St (*),20,13642,12201
332,Halsted St & Diversey Pkwy,19,41.933666,-87.648959,Halsted St & Diversey Pkwy,19,10118,9786
333,Ashland Ave & Blackhawk St,13,41.907066,-87.667252,Ashland Ave & Blackhawk St,15,6355,6291
334,Lake Shore Dr & Belmont Ave,19,41.940775,-87.639192,Lake Shore Dr & Belmont Ave,19,17425,16922
335,Calumet Ave & 35th St,15,41.831379,-87.618034,Calumet Ave & 35th St,15,1522,1572
336,Off Street,15,41.809855,-87.606755,Cottage Grove Ave & 47th St,15,1006,1009
337,Clark St & Chicago Ave,19,41.896544,-87.630931,Clark St & Chicago Ave,19,10853,11121
338,Calumet Ave & 18th St,14,41.857611,-87.619407,Calumet Ave & 18th St,15,8891,8702
339,Emerald Ave & 31st St,11,41.838198,-87.645143,Emerald Ave & 31st St,11,3190,2882
340,Clark St & Wrightwood Ave,12,41.929546,-87.643118,Clark St & Wrightwood Ave,15,15991,15996
341,Off Street,38,41.866095,-87.607267,Adler Planetarium,39,22817,23614
342,Wolcott Ave & Polk St,15,41.871262,-87.673688,Wolcott Ave & Polk St,15,8852,9227
343,Racine Ave & Wrightwood Ave,15,41.928887,-87.658971,Racine Ave & Wrightwood Ave,15,5124,5635
344,Ravenswood Ave & Lawrence Ave,37,41.96909,-87.674237,Ravenswood Ave & Lawrence Ave,39,12927,13657
345,Lake Park Ave & 56th St,18,41.793242,-87.587782,Lake Park Ave & 56th St,19,4562,4278
346,Ada St & Washington Blvd,15,41.88283,-87.661206,Ada St & Washington Blvd,15,8176,8144
347,Ashland Ave & Grace St,14,41.950687,-87.6687,Ashland Ave & Grace St,15,4197,4615
348,California Ave & 21st St,15,41.854016,-87.695445,California Ave & 21st St,15,825,637
349,Halsted St & Wrightwood Ave,15,41.929143,-87.649077,Halsted St & Wrightwood Ave,15,10097,10558
350,Ashland Ave & Chicago Ave,14,41.895966,-87.667747,Ashland Ave & Chicago Ave,15,7430,7265
351,Off Street,15,41.803038,-87.606615,Cottage Grove Ave & 51st St,15,684,665
352,Jeffery Blvd & 67th St,15,41.773517551,-87.577142826,Jeffery Blvd & 67th St,15,386,422
353,Clark St & Touhy Ave,15,42.012560115,-87.674367115,Clark St & Touhy Ave,15,480,442
354,Sheridan Rd & Greenleaf Ave,15,42.010586563,-87.662412095,Sheridan Rd & Greenleaf Ave,15,2014,2021
355,South Shore Dr & 67th St,19,41.773643,-87.567514,South Shore Dr & 67th St,19,584,553
356,Stony Island Ave & 71st St,11,41.766492937,-87.586460878,Stony Island Ave & 71st St,11,219,205
359,Larrabee St & Division St,23,41.90348607,-87.643353494,Larrabee St & Division St,23,9540,10245
364,Larrabee St & Oak St,18,41.900219493,-87.642985468,Larrabee St & Oak St,19,9132,8959
365,Halsted St & North Branch St,15,41.899368439,-87.648479875,Halsted St & North Branch St,15,2439,2594
366,Loomis St & Archer Ave,15,41.84163254,-87.657434953,Loomis St & Archer Ave,15,951,1104
367,Racine Ave & 35th St,15,41.830696113,-87.655975912,Racine Ave & 35th St,15,857,744
368,Ashland Ave & Archer Ave,15,41.839208684,-87.665609859,Ashland Ave & Archer Ave,15,433,449
369,NA1,11,41.830104654,-87.670298309,Wood St & 35th St,11,255,188
370,Calumet Ave & 21st St,14,41.854184249,-87.619153741,Calumet Ave & 21st St,15,3732,3661
373,Kedzie Ave & Chicago Ave,15,41.895465303,-87.706127884,Kedzie Ave & Chicago Ave,15,601,593
374,Western Ave & Walton St,18,41.898417689,-87.686596016,Western Ave & Walton St,19,5162,5507
375,Sacramento Blvd & Franklin Blvd,11,41.889727,-87.70103,Sacramento Blvd & Franklin Blvd,11,449,475
376,Artesian Ave & Hubbard St,35,41.88949182,-87.688219365,Artesian Ave & Hubbard St,35,3693,5321
